word1,choice1,furigana1,word2,choice2,furigana2,word3,choice3,furigana3,word4,choice4,furigana4
run,走る,はしる,teach,教える,おしえる,water,水,みず,fast,速い,はやい
eat,食べる,たべる,help,助ける,たすける,milk,牛乳,ぎゅうにゅう,slow,遅い,おそい
drink,飲む,のむ,cook,料理する,りょうりする,start,始める,はじめる,stop,止まる,とまる
paint,塗る,ぬる,study,勉強する,べんきょうする,wash,洗う,あらう,tall,高い,たかい
write,書く,かく,remember,覚える,おぼえる,bread,パン,ぱん,short,低い,ひくい
read,読む,よむ,book,本,ほん,dog,犬,いぬ,strong,強い,つよい
he,彼,かれ,she,彼女,かのじょ,they,彼ら,かれら,we,私たち,わたしたち
think,考える,かんがえる,dream,夢を見る,ゆめをみる,hope,希望する,きぼうする,weak,弱い,よわい
play,遊ぶ,あそぶ,pen,ペン,ぺん,cat,猫,ねこ,hot,暑い,あつい
jump,跳ぶ,とぶ,apple,リンゴ,りんご,home,家,いえ,cold,寒い,さむい
swim,泳ぐ,およぐ,save,救う,すくう,family,家族,かぞく,young,若い,わかい
sing,歌う,うたう,table,テーブル,てーぶる,food,食べ物,たべもの,old,古い,ふるい
dance,踊る,おどる,chair,椅子,いす,friend,友達,ともだち,easy,簡単,かんたん
happy,幸せ,しあわせ,sad,悲しい,かなしい,angry,怒っている,おこっている,surprised,驚いた,おどろいた
talk,話す,はなす,car,車,くるま,computer,コンピュータ,こんぴゅーた,difficult,難しい,むずかしい
listen,聞く,きく,bake,焼く,やく,happy,嬉しい,うれしい,good,良い,よい
sleep,寝る,ねる,teacher,先生,せんせい,sad,悲しい,かなしい,bad,悪い,わるい
walk,歩く,あるく,student,学生,がくせい,big,大きい,おおきい,new,新しい,あたらしい
drive,運転する,うんてんする,city,都市,とし,small,小さい,ちいさい,old,古い,ふるい
learn,学ぶ,まなぶ,school,学校,がっこう,begin,始める,はじめる,finish,終える,おえる
correct,正しい,ただしい,right,右,みぎ,wrong,間違い,まちがい,fix,修理する,しゅうりする
answer,答える,こたえる,fix,修理する,しゅうりする,prepare,準備する,じゅんびする,change,変更する,へんこうする
teach,教える,おしえる,solve,解決する,かいけつする,decide,決める,きめる,question,質問,しつもん
question,質問,しつもん,clarify,明確にする,めいかくにする,accept,受け入れる,うけいれる,answer,答える,こたえる
understand,理解する,りかいする,explain,説明する,せつめいする,refuse,断る,ことわる,beautiful,美しい,うつくしい
