word1,choice1,furigana1,word2,choice2,furigana2,word3,choice3,furigana3,word4,choice4,furigana4
first,最初,さいしょ,last,最後,さいご,next,次,つぎ,before,前,まえ
run,走る,はしる,cook,料理する,りょうりする,family,家族,かぞく,old,古い,ふるい
eat,食べる,たべる,study,勉強する,べんきょうする,food,食べ物,たべもの,speak,話す,はなす
drink,飲む,のむ,book,本,ほん,friend,友達,ともだち,easy,簡単,かんたん
cut,切る,きる,paste,貼る,はる,computer,コンピュータ,こんぴゅーた,difficult,難しい,むずかしい
write,書く,かく,pen,ペン,ぺん,happy,嬉しい,うれしい,good,良い,よい
read,読む,よむ,apple,リンゴ,りんご,sad,悲しい,かなしい,bad,悪い,わるい
play,遊ぶ,あそぶ,table,テーブル,てーぶる,big,大きい,おおきい,new,新しい,あたらしい
jump,跳ぶ,とぶ,chair,椅子,いす,small,小さい,ちいさい,cramped,狭い,せまい
swim,泳ぐ,およぐ,car,車,くるま,fast,速い,はやい,itself,それ自体,それじたい
sing,歌う,うたう,teacher,先生,せんせい,feel,感じる,かんじる,I,私,わたし
dance,踊る,おどる,student,学生,がくせい,slow,遅い,おそい,hide,隠す,かくす
talk,話す,はなす,city,都市,とし,show,見せる,みせる,everyone,みんな,みんな
listen,聞く,きく,school,学校,がっこう,tall,高い,たかい,anybody,誰でも,だれでも
sleep,寝る,ねる,water,水,みず,short,低い,ひくい,you,あなた,あなた
walk,歩く,あるく,milk,牛乳,ぎゅうにゅう,strong,強い,つよい,nothing,何も,なにも
drive,運転する,うんてんする,bread,パン,ぱん,weak,弱い,よわい,something,何か,なにか
learn,学ぶ,まなぶ,dog,犬,いぬ,hot,暑い,あつい,anything,何でも,なんでも
teach,教える,おしえる,cat,猫,ねこ,cold,寒い,さむい,everything,すべて,すべて
help,助ける,たすける,home,家,いえ,young,若い,わかい,,,
